threshold,TP,TN,FP,FN,Recall,Precision,F1
0.47000000000000003,15,174,7,4,0.7894736842105263,0.6818181818181818,0.7317073170731707
0.48,15,174,7,4,0.7894736842105263,0.6818181818181818,0.7317073170731707
0.49,15,174,7,4,0.7894736842105263,0.6818181818181818,0.7317073170731707
0.5,15,174,7,4,0.7894736842105263,0.6818181818181818,0.7317073170731707
0.51,14,174,7,5,0.7368421052631579,0.6666666666666666,0.7
0.52,14,174,7,5,0.7368421052631579,0.6666666666666666,0.7
0.53,14,174,7,5,0.7368421052631579,0.6666666666666666,0.7
0.54,14,174,7,5,0.7368421052631579,0.6666666666666666,0.7
0.55,14,174,7,5,0.7368421052631579,0.6666666666666666,0.7
0.56,14,174,7,5,0.7368421052631579,0.6666666666666666,0.7
0.5700000000000001,14,175,6,5,0.7368421052631579,0.7,0.717948717948718
0.58,14,175,6,5,0.7368421052631579,0.7,0.717948717948718
0.59,14,175,6,5,0.7368421052631579,0.7,0.717948717948718
0.6,14,176,5,5,0.7368421052631579,0.7368421052631579,0.7368421052631579
0.61,14,176,5,5,0.7368421052631579,0.7368421052631579,0.7368421052631579
0.62,12,176,5,7,0.631578947368421,0.7058823529411765,0.6666666666666667
0.63,12,176,5,7,0.631578947368421,0.7058823529411765,0.6666666666666667
0.64,12,176,5,7,0.631578947368421,0.7058823529411765,0.6666666666666667
0.65,12,176,5,7,0.631578947368421,0.7058823529411765,0.6666666666666667
0.66,12,176,5,7,0.631578947368421,0.7058823529411765,0.6666666666666667
0.67,12,176,5,7,0.631578947368421,0.7058823529411765,0.6666666666666667
0.68,12,176,5,7,0.631578947368421,0.7058823529411765,0.6666666666666667
0.6900000000000001,12,177,4,7,0.631578947368421,0.75,0.6857142857142857
0.7000000000000001,12,177,4,7,0.631578947368421,0.75,0.6857142857142857
0.71,12,177,4,7,0.631578947368421,0.75,0.6857142857142857
0.72,11,177,4,8,0.5789473684210527,0.7333333333333333,0.6470588235294117
0.73,11,177,4,8,0.5789473684210527,0.7333333333333333,0.6470588235294117
0.74,11,179,2,8,0.5789473684210527,0.8461538461538461,0.6875
0.75,11,180,1,8,0.5789473684210527,0.9166666666666666,0.7096774193548387
0.76,11,180,1,8,0.5789473684210527,0.9166666666666666,0.7096774193548387
0.77,11,181,0,8,0.5789473684210527,1.0,0.7333333333333334
0.78,10,181,0,9,0.5263157894736842,1.0,0.6896551724137931
0.79,9,181,0,10,0.47368421052631576,1.0,0.6428571428571429
0.8,9,181,0,10,0.47368421052631576,1.0,0.6428571428571429
0.81,7,181,0,12,0.3684210526315789,1.0,0.5384615384615384
0.8200000000000001,7,181,0,12,0.3684210526315789,1.0,0.5384615384615384
0.8300000000000001,7,181,0,12,0.3684210526315789,1.0,0.5384615384615384
0.84,7,181,0,12,0.3684210526315789,1.0,0.5384615384615384
0.85,7,181,0,12,0.3684210526315789,1.0,0.5384615384615384
0.86,6,181,0,13,0.3157894736842105,1.0,0.4799999999999999
0.87,4,181,0,15,0.21052631578947367,1.0,0.34782608695652173
0.88,4,181,0,15,0.21052631578947367,1.0,0.34782608695652173
0.89,3,181,0,16,0.15789473684210525,1.0,0.2727272727272727
0.9,3,181,0,16,0.15789473684210525,1.0,0.2727272727272727
0.91,3,181,0,16,0.15789473684210525,1.0,0.2727272727272727
0.92,2,181,0,17,0.10526315789473684,1.0,0.1904761904761905
0.93,2,181,0,17,0.10526315789473684,1.0,0.1904761904761905
0.9400000000000001,2,181,0,17,0.10526315789473684,1.0,0.1904761904761905
0.9500000000000001,2,181,0,17,0.10526315789473684,1.0,0.1904761904761905
0.96,0,181,0,19,0.0,0.0,0.0
0.97,0,181,0,19,0.0,0.0,0.0
0.98,0,181,0,19,0.0,0.0,0.0
0.99,0,181,0,19,0.0,0.0,0.0
1.0,0,181,0,19,0.0,0.0,0.0
