threshold,TP,TN,FP,FN,Recall,Precision,F1
0.61,15,171,2,12,0.5555555555555556,0.8823529411764706,0.6818181818181819
0.62,15,172,1,12,0.5555555555555556,0.9375,0.6976744186046512
0.63,15,172,1,12,0.5555555555555556,0.9375,0.6976744186046512
0.64,14,172,1,13,0.5185185185185185,0.9333333333333333,0.6666666666666667
0.65,14,172,1,13,0.5185185185185185,0.9333333333333333,0.6666666666666667
0.66,14,172,1,13,0.5185185185185185,0.9333333333333333,0.6666666666666667
0.67,13,172,1,14,0.48148148148148145,0.9285714285714286,0.6341463414634146
0.68,13,172,1,14,0.48148148148148145,0.9285714285714286,0.6341463414634146
0.6900000000000001,13,172,1,14,0.48148148148148145,0.9285714285714286,0.6341463414634146
0.7000000000000001,13,172,1,14,0.48148148148148145,0.9285714285714286,0.6341463414634146
0.71,12,172,1,15,0.4444444444444444,0.9230769230769231,0.6
0.72,12,172,1,15,0.4444444444444444,0.9230769230769231,0.6
0.73,12,173,0,15,0.4444444444444444,1.0,0.6153846153846153
0.74,11,173,0,16,0.4074074074074074,1.0,0.5789473684210525
0.75,11,173,0,16,0.4074074074074074,1.0,0.5789473684210525
0.76,11,173,0,16,0.4074074074074074,1.0,0.5789473684210525
0.77,11,173,0,16,0.4074074074074074,1.0,0.5789473684210525
0.78,10,173,0,17,0.37037037037037035,1.0,0.5405405405405406
0.79,10,173,0,17,0.37037037037037035,1.0,0.5405405405405406
0.8,10,173,0,17,0.37037037037037035,1.0,0.5405405405405406
0.81,10,173,0,17,0.37037037037037035,1.0,0.5405405405405406
0.8200000000000001,9,173,0,18,0.3333333333333333,1.0,0.5
0.8300000000000001,9,173,0,18,0.3333333333333333,1.0,0.5
0.84,9,173,0,18,0.3333333333333333,1.0,0.5
0.85,9,173,0,18,0.3333333333333333,1.0,0.5
0.86,7,173,0,20,0.25925925925925924,1.0,0.4117647058823529
0.87,7,173,0,20,0.25925925925925924,1.0,0.4117647058823529
0.88,7,173,0,20,0.25925925925925924,1.0,0.4117647058823529
0.89,7,173,0,20,0.25925925925925924,1.0,0.4117647058823529
0.9,7,173,0,20,0.25925925925925924,1.0,0.4117647058823529
0.91,7,173,0,20,0.25925925925925924,1.0,0.4117647058823529
0.92,6,173,0,21,0.2222222222222222,1.0,0.3636363636363636
0.93,6,173,0,21,0.2222222222222222,1.0,0.3636363636363636
0.9400000000000001,5,173,0,22,0.18518518518518517,1.0,0.3125
0.9500000000000001,4,173,0,23,0.14814814814814814,1.0,0.25806451612903225
0.96,2,173,0,25,0.07407407407407407,1.0,0.13793103448275862
0.97,1,173,0,26,0.037037037037037035,1.0,0.07142857142857142
0.98,0,173,0,27,0.0,0.0,0.0
0.99,0,173,0,27,0.0,0.0,0.0
1.0,0,173,0,27,0.0,0.0,0.0
